,Date,Compétition,Lieu,Adversaire,Score
509,1983-01-23,QCEDEAO,Extérieur,Niger,0-2
510,1982-11-28,QCAN,Domicile,Niger,1-0
511,1982-11-14,QCAN,Extérieur,Niger,0-0
512,1982-10-27,AMC,Domicile,Togo,1-2
513,1982-08-20,AMC,Neutre,Ghana,2-2
514,1982-08-19,AMC,Neutre,Corée du Sud,1-1
515,1982-08-17,AMC,Neutre,Santa Catarina,0-2
516,1982-08-13,AMC,Neutre,Malaisie,0-1
517,1982-08-11,AMC,Neutre,Indonésie,2-2
518,1982-08-09,AMC,Neutre,Emirats Arabes Unis,3-1
519,1982-08-06,AMC,Neutre,Corée du Sud,2-0
520,1982-05-12,AMC,Domicile,Maroc,1-2
521,1982-05-05,AMC,Extérieur,Guinée,1-1
522,1982-05-04,AMC,Extérieur,Ghana,0-0
523,1982-05-01,AMC,Extérieur,Cameroun,1-2
524,1982-02-19,Cabral,Neutre,Guinée,0-3
525,1982-02-17,Cabral,Neutre,Mali,1-0
526,1982-02-15,Cabral,Neutre,Sierra Leone,2-0
527,1982-02-13,Cabral,Neutre,Guinée-Bissau,1-0
528,1982-02-11,Cabral,Neutre,Guinée,1-1
529,1982-02-02,AMC,Extérieur,Sion,2-0
530,1982-01-31,AMC,Domicile,Bénin,1-0
531,1982-01-24,AMC,Extérieur,Burkina Faso,0-0
532,1981-11-01,AMC,Domicile,Maroc,2-0
533,1981-04-26,QCAN,Domicile,Tunisie,0-0
534,1981-04-12,QCAN,Extérieur,Tunisie,0-1
535,1981-04-06,AMC,Extérieur,Algérie,1-3
536,1981-04-03,AMC,Extérieur,Algérie,0-2
537,1981-03-25,AMC,Domicile,Guinée,0-1
538,1981-02-12,Cabral,Neutre,Cap-Vert,5-1
539,1981-02-10,Cabral,Neutre,Guinée,0-1
540,1981-02-05,Cabral,Neutre,Guinée-Bissau,1-0
541,1981-02-03,Cabral,Neutre,Cap-Vert,1-0
542,1980-11-30,QCAN,Extérieur,Sierra Leone,2-1
543,1980-11-17,QCAN,Domicile,Sierra Leone,2-0
544,1980-11-09,AMC,Domicile,Mauritanie,3-0
545,1980-07-06,QCDM,Extérieur,Maroc,0-0
546,1980-07-02,AMC,Extérieur,Mauritanie,3-1
547,1980-06-22,QCDM,Domicile,Maroc,0-1
548,1980-05-01,AMC,Domicile,Guinée,1-0
549,1980-04-05,AMC,Domicile,Tunisie,0-2
550,1980-02-25,AMC,Extérieur,Maroc,2-3
551,1980-02-18,Cabral,Neutre,Gambie,1-0
