,Date,Compétition,Lieu,Adversaire,Score
163,2011-08-11,AMC,Domicile,Maroc,0-2
164,2011-06-04,QCAN,Extérieur,Cameroun,0-0
165,2011-03-26,QCAN,Domicile,Cameroun,1-0
166,2011-02-09,AMC,Domicile,Guinée,3-0
167,2010-11-17,AMC,Neutre,Gabon,2-1
168,2010-10-09,QCAN,Domicile,Ile Maurice,7-0
169,2010-09-05,QCAN,Extérieur,RD Congo,4-2
170,2010-08-11,AMC,Domicile,Cap-Vert,1-0
171,2010-05-27,AMC,Extérieur,Danemark,0-2
172,2010-03-03,AMC,Extérieur,Grèce,2-0
173,Années 2000,Années 2000,Années 2000,Années 2000,Années 2000
174,2009-10-14,AMC,Extérieur,Corée du Sud,0-2
175,2009-09-05,AMC,Neutre,Angola,1-1
176,2009-08-11,AMC,Neutre,RD Congo,2-1
177,2009-04-01,AMC,Extérieur,Iran,1-1
178,2009-03-27,AMC,Extérieur,Oman,0-2
179,2008-10-11,QCDM,Domicile,Gambie,1-1
180,2008-09-05,QCDM,Extérieur,Algérie,2-3
181,2008-08-20,AMC,Extérieur,Libye,0-0
182,2008-06-21,QCDM,Domicile,Liberia,3-1
183,2008-06-15,QCDM,Extérieur,Liberia,2-2
184,2008-06-08,QCDM,Extérieur,Gambie,0-0
185,2008-05-31,QCDM,Domicile,Algérie,1-0
186,2008-01-31,CAN,Neutre,Afrique du Sud,1-1
187,2008-01-27,CAN,Neutre,Angola,1-3
188,2008-01-23,CAN,Neutre,Tunisie,2-2
189,2008-01-16,AMC,Extérieur,Bénin,2-1
190,2008-01-12,AMC,Domicile,Namibie,3-1
191,2007-11-20,AMC,Neutre,Maroc,0-3
192,2007-11-16,AMC,Neutre,Mali,3-2
193,2007-10-13,AMC,Neutre,Guinée,3-1
194,2007-09-07,QCAN,Domicile,Burkina Faso,5-1
195,2007-08-20,AMC,Neutre,Ghana,1-1
196,2007-06-17,QCAN,Extérieur,Mozambique,0-0
197,2007-06-09,AMC,Neutre,Malawi,3-2
198,2007-06-02,QCAN,Extérieur,Tanzanie,1-1
199,2007-03-23,QCAN,Domicile,Tanzanie,4-0
200,2007-02-06,AMC,Neutre,Bénin,2-1
201,2006-10-07,QCAN,Extérieur,Burkina Faso,0-1
202,2006-09-02,QCAN,Domicile,Mozambique,2-0
203,2006-08-16,AMC,Neutre,Côte d'Ivoire,1-0
204,2006-05-23,AMC,Extérieur,Corée du Sud,1-1
205,2006-03-01,AMC,Neutre,Norvège,2-1
206,2006-02-09,CAN,Neutre,Nigeria,0-1
207,2006-02-07,CAN,Neutre,Egypte,1-2
208,2006-02-03,CAN,Neutre,Guinée,3-2
209,2006-01-31,CAN,Neutre,Nigeria,1-2
210,2006-01-27,CAN,Neutre,Ghana,0-1
211,2006-01-23,CAN,Neutre,Zimbabwe,2-0
212,2006-01-13,AMC,Neutre,RD Congo,0-0
213,2005-11-12,AMC,Extérieur,Afrique du Sud,3-2
214,2005-10-08,QCDM,Domicile,Mali,3-0
215,2005-09-03,QCDM,Extérieur,Zambie,1-0
216,2005-08-17,AMC,Neutre,Ghana,0-0
217,2005-06-18,QCDM,Domicile,Togo,2-2
218,2005-06-05,QCDM,Extérieur,Congo,0-0
219,2005-03-26,QCDM,Domicile,Liberia,6-1
220,2005-02-09,AMC,Neutre,Cameroun,0-1
221,2004-11-17,AMC,Neutre,Algérie,2-1
222,2004-10-10,QCDM,Extérieur,Liberia,3-0
223,2004-09-05,QCDM,Extérieur,Mali,2-2
224,2004-08-18,AMC,Neutre,Côte d'Ivoire,1-2
225,2004-07-03,QCDM,Domicile,Zambie,1-0
226,2004-06-20,QCDM,Extérieur,Togo,1-3
227,2004-06-13,AMC,Domicile,Cap-Vert,3-1
228,2004-06-05,QCDM,Domicile,Congo,2-0
229,2004-05-29,AMC,Neutre,Guinée,1-1
230,2004-02-07,CAN,Neutre,Tunisie,0-1
231,2004-02-02,CAN,Neutre,Mali,1-1
232,2004-01-30,CAN,Neutre,Kenya,3-0
233,2004-01-26,CAN,Neutre,Burkina Faso,0-0
234,2004-01-18,AMC,Domicile,Afrique du Sud,2-1
235,2003-11-15,AMC,Neutre,Côte d'Ivoire,1-0
236,2003-10-10,AMC,Extérieur,Egypte,0-1
237,2003-09-10,AMC,Extérieur,Japon,1-0
238,2003-06-14,QCAN,Domicile,Lesotho,3-0
239,2003-06-07,QCAN,Domicile,Gambie,3-1
240,2003-05-31,AMC,Domicile,Cap-Vert,2-1
241,2003-04-30,AMC,Extérieur,Tunisie,0-1
242,2003-03-30,QCAN,Extérieur,Gambie,0-0
243,2003-02-12,AMC,Extérieur,Maroc,0-1
244,2002-11-19,AMC,Extérieur,Afrique du Sud,1-1
245,2002-10-12,AMC,Neutre,Nigeria,2-2
246,2002-09-08,QCAN,Extérieur,Lesotho,1-0
247,2002-06-22,CDM,Neutre,Turquie,0-1
248,2002-06-16,CDM,Neutre,Suède,2-1
249,2002-06-11,CDM,Neutre,Uruguay,3-3
250,2002-06-06,CDM,Neutre,Danemark,1-1
251,2002-05-31,CDM,Neutre,France,1-0
252,2002-05-23,AMC,Neutre,Equateur,1-0
253,2002-05-14,AMC,Extérieur,Arabie Saoudite,2-3
254,2002-03-27,AMC,Domicile,Bolivie,2-1
255,2002-02-10,CAN,Neutre,Cameroun,0-0
256,2002-02-07,CAN,Neutre,Nigeria,2-1
257,2002-02-04,CAN,Neutre,RD Congo,2-0
258,2002-01-31,CAN,Neutre,Tunisie,0-0
259,2002-01-26,CAN,Neutre,Zambie,1-0
260,2002-01-20,CAN,Neutre,Egypte,1-0
261,2001-12-30,AMC,Domicile,Algérie,1-0
262,2001-12-26,AMC,Domicile,Burkina Faso,2-4
263,2001-11-08,AMC,Extérieur,Corée du Sud,1-0
264,2001-10-04,AMC,Extérieur,Japon,2-0
265,2001-07-21,QCDM,Extérieur,Namibie,5-0
266,2001-07-14,QCDM,Domicile,Maroc,1-0
267,2001-06-17,QCAN,Extérieur,Togo,0-1
268,2001-06-03,AMC,Domicile,Gambie,0-0
269,2001-05-06,QCDM,Extérieur,Egypte,0-1
270,2001-04-21,QCDM,Domicile,Algérie,3-0
271,2001-03-24,QCAN,Domicile,Ouganda,3-0
272,2001-03-10,QCDM,Domicile,Namibie,4-0
273,2001-02-24,QCDM,Extérieur,Maroc,0-0
274,2001-01-13,QCAN,Extérieur,Ouganda,1-1
275,2000-09-24,QCAN,Domicile,Togo,0-0
276,2000-07-09,QCDM,Domicile,Egypte,0-0
277,2000-06-16,QCDM,Extérieur,Algérie,1-1
278,2000-06-11,AMC,Extérieur,Tunisie,1-4
279,2000-06-06,AMC,Domicile,Zambie,0-0
280,2000-06-04,AMC,Domicile,Zambie,0-0
281,2000-05-14,Cabral,Neutre,Cap-Vert,0-1
282,2000-05-11,Cabral,Neutre,Mali,2-2
283,2000-05-08,Cabral,Neutre,Cap-Vert,2-2
284,2000-05-06,Cabral,Neutre,Gambie,1-1
285,2000-05-04,Cabral,Neutre,Sierra Leone,3-0
286,2000-04-23,QCDM,Domicile,Bénin,1-0
287,2000-04-09,QCDM,Extérieur,Bénin,1-1
288,2000-02-07,CAN,Neutre,Nigeria,1-2
289,2000-02-01,CAN,Neutre,Zambie,2-2
290,2000-01-28,CAN,Neutre,Egypte,0-1
291,2000-01-25,CAN,Neutre,Burkina Faso,3-1
292,2000-01-13,AMC,Domicile,Cameroun,0-0
293,Années 1990,Années 1990,Années 1990,Années 1990,Années 1990
294,1999-12-21,AMC,Extérieur,Maroc,0-0
295,1999-12-12,AMC,Domicile,Gambie,3-0
296,1999-11-20,AMC,Domicile,Côte d'Ivoire,3-0
297,1999-08-20,QCAN,Extérieur,Erythrée,2-0
298,1999-08-08,QCAN,Domicile,Zimbabwe,2-0
299,1999-07-30,QCAN,Extérieur,Zimbabwe,1-2
300,1999-07-18,QCAN,Domicile,Erythrée,6-2
301,1999-06-19,QCAN,Domicile,Burundi,1-0
302,1999-06-06,QCAN,Extérieur,Burkina Faso,2-2
303,1999-06-01,AMC,Extérieur,Mali,1-1
304,1999-05-16,AMC,Extérieur,Libye,1-2
305,1999-02-28,QCAN,Domicile,Nigeria,1-1
306,1999-01-23,QCAN,Domicile,Burkina Faso,1-1
307,1999-01-13,AMC,Domicile,Guinée,1-0
308,1999-01-10,AMC,Domicile,Guinée,1-0
309,1998-12-13,QCAN,Extérieur,Burundi,0-1
310,1998-09-17,AMC,Extérieur,Arabie Saoudite,2-3
311,1998-09-02,AMC,Extérieur,Maroc,0-2
312,1998-08-31,AMC,Extérieur,Burkina Faso,0-0
313,1998-07-26,AMC,Domicile,Mali,3-1
314,1998-07-19,AMC,Domicile,Cap-Vert,1-0
315,1997-12-07,Cabral,Neutre,Mali,0-1
316,1997-12-05,Cabral,Neutre,Guinée,2-1
317,1997-12-02,Cabral,Neutre,Gambie,0-0
318,1997-11-30,Cabral,Neutre,Cap-Vert,2-0
319,1997-11-28,Cabral,Neutre,Mauritanie,1-1
320,1997-11-19,AMC,Domicile,Mali,1-2
321,1997-07-27,QCAN,Extérieur,Maroc,0-3
322,1997-07-13,QCAN,Extérieur,Egypte,0-2
323,1997-06-22,QCAN,Domicile,Ethiopie,3-0
324,1997-06-06,AMC,Domicile,Algérie,0-0
325,1997-05-08,AMC,Extérieur,Côte d'Ivoire,1-4
326,1997-03-29,AMC,Extérieur,Sierra Leone,1-2
327,1997-02-22,QCAN,Domicile,Maroc,0-0
328,1997-02-16,AMC,Domicile,Mali,1-1
329,1997-01-25,QCAN,Domicile,Egypte,0-0
330,1997-01-12,AMC,Extérieur,Mali,0-0
331,1996-10-06,QCAN,Extérieur,Ethiopie,2-1
332,1996-09-15,AMC,Domicile,Mali,1-0
333,1996-06-15,QCDM,Domicile,Togo,1-1
334,1996-06-02,QCDM,Extérieur,Togo,1-2
335,1996-05-26,AMC,Extérieur,Tunisie,0-2
336,1996-05-17,AMC,Extérieur,Mauritanie,0-0
337,1996-04-21,AMC,Extérieur,Gambie,2-1
338,1995-11-22,Cabral,Neutre,Sierra Leone,1-1
339,1995-11-20,Cabral,Neutre,Guinée,3-0
340,1995-11-18,Cabral,Neutre,Guinée-Bissau,1-2
341,1995-07-30,QCAN,Domicile,Liberia,3-0
342,1995-07-15,QCAN,Extérieur,Tunisie,0-4
343,1995-04-22,QCAN,Domicile,Togo,5-1
344,1995-04-07,QCAN,Extérieur,Mauritanie,1-0
345,1995-03-01,AMC,Extérieur,Maroc,0-2
346,1995-01-22,QCAN,Extérieur,Liberia,1-1
347,1995-01-07,QCAN,Domicile,Tunisie,0-0
348,1994-11-13,QCAN,Extérieur,Guinée-Bissau,4-1
349,1994-10-28,AMC,Extérieur,Emirats Arabes Unis,2-3
350,1994-10-25,AMC,Extérieur,Oman,1-2
351,1994-10-23,AMC,Extérieur,Oman,1-0
352,1994-10-16,QCAN,Extérieur,Togo,0-2
353,1994-10-09,AMC,Domicile,Niger,3-1
354,1994-09-03,QCAN,Extérieur,Mauritanie,0-0
355,1994-04-03,CAN,Neutre,Zambie,0-1
356,1994-03-31,CAN,Neutre,Ghana,0-1
357,1994-03-29,CAN,Neutre,Guinée,2-1
358,1994-02-27,AMC,Extérieur,Gabon,0-0
359,1994-02-07,AMC,Extérieur,Gambie,0-0
360,1994-01-30,AMC,Domicile,Mali,0-0
361,1994-01-23,AMC,Extérieur,Mali,0-1
362,1993-12-05,Cabral,Neutre,Sierra Leone,0-2
363,1993-12-03,Cabral,Neutre,Gambie,2-0
364,1993-12-01,Cabral,Neutre,Guinée-Bissau,0-0
365,1993-11-29,Cabral,Neutre,Mauritanie,4-0
366,1993-11-27,Cabral,Neutre,Mali,0-1
367,1993-09-26,QCDM,Extérieur,Zambie,0-4
368,1993-09-19,AMC,Extérieur,Zimbabwe,0-2
369,1993-08-07,QCDM,Domicile,Zambie,0-0
370,1993-07-25,QCAN,Extérieur,Algérie,0-4
371,1993-07-17,QCDM,Domicile,Maroc,1-3
372,1993-07-11,QCAN,Domicile,Sierra Leone,1-1
373,1993-06-20,AMC,Extérieur,Mali,2-0
374,1993-04-18,QCDM,Extérieur,Maroc,0-1
375,1993-04-11,QCAN,Extérieur,Guinée-Bissau,3-0
376,1993-02-27,QCDM,Domicile,Gabon,1-0
377,1993-01-30,QCDM,Domicile,Mozambique,6-1
378,1993-01-23,QCAN,Extérieur,Togo,1-1
379,1993-01-12,AMC,Domicile,France,1-3
380,1993-01-10,QCAN,Domicile,Algérie,1-2
381,1992-12-19,QCDM,Extérieur,Gabon,2-3
382,1992-11-19,AMC,Extérieur,Emirats Arabes Unis,2-2
383,1992-11-17,AMC,Extérieur,Emirats Arabes Unis,1-1
384,1992-11-08,QCAN,Extérieur,Sierra Leone,0-2
385,1992-10-25,QCDM,Extérieur,Mozambique,1-0
386,1992-08-30,QCAN,Domicile,Guinée-Bissau,3-0
387,1992-08-16,QCAN,Domicile,Togo,2-0
388,1992-01-19,CAN,Neutre,Cameroun,0-1
389,1992-01-16,CAN,Neutre,Kenya,3-0
390,1992-01-12,CAN,Neutre,Nigeria,1-2
391,1991-12-20,AMC,Extérieur,Juventus,1-2
392,1991-12-17,AMC,Domicile,Algérie,1-3
393,1991-12-02,Cabral,Neutre,Cap-Vert,1-0
394,1991-11-30,Cabral,Neutre,Gambie,2-0
395,1991-11-27,Cabral,Neutre,Cap-Vert,0-0
396,1991-11-24,Cabral,Neutre,Guinée-Bissau,4-0
397,1991-11-10,AMC,Domicile,Erevan,4-1
398,1991-11-05,AMC,Extérieur,Luton,0-1
399,1991-11-02,CEDEAO,Neutre,Côte d'Ivoire,0-1
400,1991-10-31,CEDEAO,Neutre,Ghana,3-2
