,Groupes d’âge,Sexe,Sexe,Ensemble,Rapport de masculinité
,Groupes d’âge,Masculin,Féminin,Ensemble,Rapport de masculinité
0,Moins de 15 ans,3 711 055,3 349 515,7 060 570,110.79
1,15-34,3 194 796,3 258 003,6 452 799,98.06
2,35-59,1 706 770,1 737 760,3 444 529,98.22
3,60 et+,519 239,555 336,1 074 575,93.5
4,SENEGAL,9 131 859,8 900 614,18 032 473,102.6
